id,code,name,address,prefecture,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27

1.0,01 / 盛歯48,3048.0,5.0,鈴木歯科クリニック,〒020－0021,盛岡市中央通三丁目７番１号　政経ビル２Ｆ,019-651-0151 / 新規 / 令5. 12. 21,鈴木　英夫,鈴木　英夫 / 現存,昭47. 12. 21,歯,診療所,,,,,,,,,,,,,,

2.0,01 / 盛歯101,3101.0,2.0,黒江歯科医院,〒020－0886,盛岡市若園町１０番２号,019-624-6624 / 新規 / 令5. 1. 14,黒江　俊,黒江　俊 / 現存,昭53. 1. 14,歯,診療所,,,,,,,,,,,,,,

3.0,01 / 盛歯104,3104.0,6.0,中野歯科クリニック,〒020－0816,盛岡市中野一丁目１７番１号,019-653-1821 / 新規 / 令5. 9. 1,佐々木　隆博,佐々木　隆博 / 現存,昭53. 8. 28,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

4.0,01 / 盛歯122,3122.0,8.0,大館歯科クリニック,〒020－0147,盛岡市大館町２６番５０号,019-646-6825 / 新規 / 令6. 11. 11,岡村　賢治,岡村　賢治 / 現存,昭54. 11. 11,歯　小歯　歯外,診療所,,,,,,,,,,,,,,

5.0,01 / 盛歯125,3125.0,1.0,野手歯科医院,〒020－0122,盛岡市みたけ六丁目１番１１号,019-641-0086 / 新規 / 令3. 12. 15,野手　清,野手　清 / 現存,昭54. 12. 15,歯　小歯,診療所,,,,,,,,,,,,,,

6.0,01 / 盛歯128,3128.0,5.0,外川歯科医院,〒020－0004,盛岡市山岸一丁目２番４６号,019-653-6480 / 新規 / 令4. 7. 14,外川　正,外川　正 / 現存,昭55. 7. 14,歯,診療所,,,,,,,,,,,,,,

7.0,01 / 盛歯140,3140.0,0.0,千葉歯科,〒020－0033,盛岡市盛岡駅前北通２番２５号,019-653-3321 / 新規 / 令5. 9. 1,千葉　美知子,千葉　美知子 / 現存,昭56. 4. 10,歯　小歯　矯歯,診療所,,,,,,,,,,,,,,

8.0,01 / 盛歯142,3142.0,6.0,うしぶくろ歯科医院,〒020－0131,盛岡市中堤町１３番４３号,019-647-8668 / 新規 / 令5. 9. 1,牛袋　徳道,牛袋　徳道 / 現存,昭56. 6. 10,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

9.0,01 / 盛歯148,3148.0,3.0,橋浦歯科診療所,〒020－0103,盛岡市西松園一丁目３番８号,019-662-8151 / 新規 / 令6. 4. 1,橋浦　礼二郎,橋浦　礼二郎 / 現存,昭57. 4. 1,歯　小歯,診療所,,,,,,,,,,,,,,

10.0,01 / 盛歯160,3160.0,8.0,黒石野歯科医院,〒020－0111,盛岡市黒石野二丁目１３番４４号,019-662-5678 / 新規 / 令4. 7. 5,武田　秀雄,武田　秀雄 / 現存,昭58. 7. 5,歯,診療所,,,,,,,,,,,,,,

11.0,01 / 盛歯162,3162.0,4.0,柴田歯科医院,〒020－0878,盛岡市肴町５番５号,019-651-6710 / 移動 / 令4. 8. 2,柴田　理,柴田　理 / 現存,昭58. 8. 2,歯,診療所,,,,,,,,,,,,,,

12.0,01 / 盛歯163,3163.0,2.0,茶畑歯科医院,〒020－0822,盛岡市茶畑一丁目８番１８号,019-653-2545 / 新規 / 令4. 9. 22,大林　勢津子,大林　勢津子 / 現存,昭58. 9. 22,歯,診療所,,,,,,,,,,,,,,

13.0,01 / 盛歯166,3166.0,5.0,国労会館歯科,〒020－0033,盛岡市盛岡駅前北通４番４号国労会館２階,019-653-5228 / 新規 / 令5. 2. 1,千葉　啓二,千葉　啓二 / 現存,昭59. 2. 1,歯,診療所,,,,,,,,,,,,,,

14.0,01 / 盛歯168,3168.0,1.0,前東歯科医院,〒020－0025,盛岡市大沢川原三丁目６番６号,019-623-4400 / 新規 / 令5. 9. 1,前東　正次,前東　正次 / 現存,昭59. 6. 18,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

15.0,01 / 盛歯172,3172.0,3.0,前川歯科クリニック,〒020－0042,盛岡市新田町９番１５号,019-653-3200 / 新規 / 令6. 4. 1,前川　秀憲,前川　秀憲 / 現存,昭60. 4. 1,歯,診療所,,,,,,,,,,,,,,

16.0,01 / 盛歯174,3174.0,9.0,小松デンタルオフィス,〒020－0016,盛岡市名須川町１７番６号,019-653-6491 / 新規 / 令4. 4. 7,小松　世潮,小松　世潮 / 現存,昭61. 4. 7,歯　歯外,診療所,,,,,,,,,,,,,,

17.0,01 / 盛歯180,3180.0,6.0,攝待歯科医院,〒020－0106,盛岡市東松園三丁目２８番１号,019-663-0110 / 新規 / 令6. 4. 11,攝待　成宏,攝待　成宏 / 現存,昭63. 4. 11,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

18.0,01 / 盛歯186,3186.0,3.0,小笠原歯科医院,〒020－0875,盛岡市清水町６番２８号,019-623-7227 / 新規 / 令4. 8. 1,小笠原　宰記,小笠原　宰記 / 現存,平元. 8. 1,歯,診療所,,,,,,,,,,,,,,

19.0,01 / 盛歯189,3189.0,7.0,黒田歯科クリニック,〒020－0066,盛岡市上田一丁目５番３８号,019-625-8889 / 新規 / 令4. 10. 2,黒田　康之,黒田　康之 / 現存,平元. 10. 2,歯,診療所,,,,,,,,,,,,,,

20.0,01 / 盛歯198,3198.0,8.0,中村歯科医院,〒020－0861,盛岡市仙北二丁目１０番７号,019-635-3777 / 新規 / 令6. 3. 1,中村　裕子,中村　裕子 / 現存,平3. 3. 1,歯　小歯　歯外　矯歯,診療所,,,,,,,,,,,,,,

21.0,01 / 盛歯200,3200.0,2.0,いとう歯科医院,〒020－0813,盛岡市東山一丁目１９番２１号,019-626-5252 / 新規 / 令6. 4. 12,伊藤　学,伊藤　学 / 現存,平3. 4. 12,歯　小歯,診療所,,,,,,,,,,,,,,

22.0,01 / 盛歯201,3201.0,0.0,寺島歯科医院,〒020－0807,盛岡市加賀野一丁目２番６１号,019-626-5800 / 新規 / 令6. 4. 6,寺島　博,寺島　博 / 現存,平3. 4. 6,歯,診療所,,,,,,,,,,,,,,

23.0,01 / 盛歯207,3207.0,7.0,米内歯科医院,〒020－0831,盛岡市三本柳１１地割１２番地２,019-637-2035 / 新規 / 令5. 9. 1,米内　正,米内　正 / 現存,昭53. 5. 1,歯　歯外,診療所,,,,,,,,,,,,,,

24.0,01 / 盛歯208,3208.0,5.0,近藤歯科クリニック,〒020－0834,盛岡市永井２２地割４２番地２,019-638-8299 / 新規 / 令6. 5. 9,近藤　聖二,近藤　聖二 / 現存,昭54. 5. 9,歯,診療所,,,,,,,,,,,,,,

25.0,01 / 盛歯217,3217.0,6.0,西郷歯科医院,〒020－0833,盛岡市西見前１４地割８３番地,019-638-7711 / 新規 / 令5. 11. 24,西郷　慶悦,西郷　慶悦 / 現存,昭62. 11. 24,歯　小歯,診療所,,,,,,,,,,,,,,

26.0,01 / 盛歯218,3218.0,4.0,盛岡ツイン歯科クリニック,〒020－0836,盛岡市津志田西一丁目１番３１号,019-638-3800 / 新規 / 令5. 11. 12,鈴木　伸,鈴木　伸 / 現存,昭62. 11. 12,歯　矯歯　歯外,診療所,,,,,,,,,,,,,,

27.0,01 / 盛歯220,3220.0,0.0,小田中歯科医院,〒020－0843,盛岡市湯沢西三丁目４番１号,019-637-7774 / 新規 / 令6. 4. 12,小田中　健策,小田中　健策 / 現存,平3. 4. 12,歯　歯外　矯歯,診療所,,,,,,,,,,,,,,

28.0,01 / 盛歯221,3221.0,8.0,ささき歯科医院,〒020－0831,盛岡市三本柳第３地割１２番地７,019-637-8211 / 新規 / 令6. 8. 20,佐々木　憲明,佐々木　憲明 / 現存,平3. 8. 20,歯,診療所,,,,,,,,,,,,,,

29.0,01 / 盛歯222,3222.0,6.0,まゆみ歯科・小児歯科医院,〒020－0881,盛岡市天神町１０番３号,019-651-6480 / 新規 / 令4. 4. 2,高橋　真弓,高橋　真弓 / 現存,平4. 4. 2,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

30.0,01 / 盛歯224,3224.0,2.0,小山田歯科クリニック,〒020－0134,盛岡市南青山町３番１号,019-643-4618 / 新規 / 令4. 4. 13,小山田　勇樹,小山田　勇樹 / 現存,平4. 4. 13,歯,診療所,,,,,,,,,,,,,,

31.0,01 / 盛歯226,3226.0,7.0,はしば歯科医院,〒020－0004,盛岡市山岸四丁目１０番３１号,019-662-7171 / 新規 / 令4. 5. 13,橋場　友幹,橋場　友幹 / 現存,平4. 5. 13,歯　歯外,診療所,,,,,,,,,,,,,,

32.0,01 / 盛歯235,3235.0,8.0,横藤歯科医院,〒020－0883,盛岡市志家町１番２号,019-653-5577 / 新規 / 令5. 9. 1,横藤　英夫,横藤　英夫 / 現存,平5. 4. 1,歯　小歯　矯歯,診療所,,,,,,,,,,,,,,

33.0,01 / 盛歯238,3238.0,2.0,トシ歯科医院,〒020－0122,盛岡市みたけ三丁目２７番１５号,019-641-7152 / 組織変更 / 令5. 9. 1,医療法人トシ歯科医院　理事長　佐々木　俊彦,佐々木　俊彦 / 現存,平5. 8. 2,歯　小歯,診療所,,,,,,,,,,,,,,

34.0,01 / 盛歯239,3239.0,0.0,松嶋歯科医院,〒020－0866,盛岡市本宮一丁目９番８号,019-634-0488 / 組織変更 / 令5. 9. 1,医療法人拓心会　理事長　松嶋　正造,松嶋　正造 / 現存,平5. 9. 1,歯　歯外　小歯　矯歯,診療所,,,,,,,,,,,,,,

35.0,01 / 盛歯241,3241.0,6.0,松舘歯科医院,〒020－0051,盛岡市下太田沢田６８番２号,019-659-2566 / 組織変更 / 令5. 12. 1,医療法人邦陽会　理事長　松舘　邦彦,松舘　邦彦 / 現存,平5. 12. 1,歯　矯歯　小歯　歯外,診療所,,,,,,,,,,,,,,

36.0,01 / 盛歯244,3244.0,0.0,佐藤たもつ歯科医院,〒020－0866,盛岡市本宮一丁目２４番３号,019-636-0418 / 組織変更 / 令6. 1. 1,医療法人佐藤たもつ歯科医院　理事長　佐藤　保,佐藤　保 / 現存,平6. 1. 1,歯　小歯,診療所,,,,,,,,,,,,,,

37.0,01 / 盛歯248,3248.0,1.0,壱番舘歯科クリニック,〒020－0834,盛岡市永井２２地割３番地１１８ＳＡＷＡＸ壱番舘１階,019-637-4618 / 新規 / 令6. 4. 2,澤井　泰董,澤井　泰董 / 現存,平6. 4. 2,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

38.0,01 / 盛歯249,3249.0,9.0,仙北坂歯科クリニック,〒020－0866,盛岡市本宮二丁目１１番１６号,019-635-1641 / 新規 / 令6. 5. 9,菊地　博,菊地　博 / 現存,平6. 5. 9,歯　小歯,診療所,,,,,,,,,,,,,,

39.0,01 / 盛歯251,3251.0,5.0,高山歯科医院,〒020－0822,盛岡市茶畑一丁目１番６号グリーンビレッジ盛岡Ｃ棟２０１号,019-651-8241 / 新規 / 令6. 8. 29,高山　透,高山　透 / 現存,平6. 8. 29,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

40.0,01 / 盛歯253,3253.0,1.0,前川歯科医院,〒020－0132,盛岡市西青山一丁目１６番１７号,019-647-1411 / 新規 / 令6. 8. 20,前川　洋,前川　洋 / 現存,平6. 8. 20,歯　小歯,診療所,,,,,,,,,,,,,,

41.0,01 / 盛歯255,3255.0,6.0,医療法人広仁会　城西歯科クリニック,〒020－0044,盛岡市城西町７番３５号,019-624-0531 / 組織変更 / 令6. 9. 1,医療法人広仁会　理事長　箱崎　渡,箱崎　渡 / 現存,平6. 9. 1,歯,診療所,,,,,,,,,,,,,,

42.0,01 / 盛歯257,3257.0,2.0,三善歯科医院,〒020－0132,盛岡市西青山二丁目１８番４号,019-647-7666 / 新規 / 令6. 10. 3,三善　潤,三善　潤 / 現存,平6. 10. 3,歯,診療所,,,,,,,,,,,,,,

43.0,01 / 盛歯262,3262.0,2.0,ながはま歯科医院,〒020－0062,盛岡市長田町２１番４３号,019-653-8911 / 新規 / 令4. 4. 18,長濱　博道,長濱　博道 / 現存,平7. 4. 18,歯,診療所,,,,,,,,,,,,,,

44.0,01 / 盛歯263,3263.0,0.0,宮田歯科医院,〒020－0114,盛岡市高松二丁目２６番２７号,019-663-4848 / 新規 / 令4. 5. 29,宮田　右京,宮田　右京 / 現存,平7. 5. 29,歯,診療所,,,,,,,,,,,,,,

45.0,01 / 盛歯267,3267.0,1.0,遠藤歯科クリニック,〒020－0025,盛岡市大沢川原三丁目６番３１号ライオンズマンション開運橋２１１号,019-629-1188 / 新規 / 令4. 8. 10,遠藤　哲彦,遠藤　哲彦 / 現存,平7. 8. 10,歯,診療所,,,,,,,,,,,,,,

46.0,01 / 盛歯270,3270.0,5.0,サンタウン歯科クリニック,〒020－0105,盛岡市北松園二丁目１４番２号,019-661-1888 / 新規 / 令4. 10. 20,鈴木　洋之介,鈴木　洋之介 / 現存,平7. 10. 20,歯　小歯,診療所,,,,,,,,,,,,,,

47.0,01 / 盛歯271,3271.0,3.0,はぎわら歯科クリニック,〒020－0042,盛岡市新田町１０番７号,019-626-3363 / 新規 / 令4. 12. 21,萩原　伸治,萩原　伸治 / 現存,平7. 12. 21,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

48.0,01 / 盛歯272,3272.0,1.0,小笠原歯科クリニック,〒020－0866,盛岡市本宮三丁目３２番５号,0196-35-3500 / 組織変更 / 令5. 2. 1,医療法人大樹会　理事長　小笠原　洋人,小笠原　洋人 / 現存,平8. 2. 1,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

49.0,01 / 盛歯274,3274.0,7.0,和田歯科医院,〒020－0884,盛岡市神明町２番５号,019-652-5011 / 新規 / 令5. 3. 15,和田　武彦,和田　武彦 / 現存,平8. 3. 15,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

50.0,01 / 盛歯276,3276.0,2.0,白石歯科クリニック,〒020－0853,盛岡市下飯岡１１地割１２６番地１,019-638-0666 / 新規 / 令5. 9. 1,白石　秀幸,白石　秀幸 / 現存,平8. 5. 24,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

51.0,01 / 盛歯277,3277.0,0.0,ふじさわ歯科クリニック,〒020－0122,盛岡市みたけ四丁目２４番３５号,019-646-0877 / 新規 / 令5. 9. 1,藤澤　,藤澤　 / 現存,平8. 7. 27,歯,診療所,,,,,,,,,,,,,,

52.0,01 / 盛歯278,3278.0,8.0,くろだ歯科医院,〒020－0011,盛岡市三ツ割五丁目７番５号,019-663-6601 / 新規 / 令5. 9. 1,黒田　直寿,黒田　直寿 / 現存,平8. 8. 10,歯　小歯,診療所,,,,,,,,,,,,,,

53.0,01 / 盛歯284,3284.0,6.0,横矢歯科医院,〒020－0874,盛岡市南大通二丁目４番１７号,019-626-9200 / 新規 / 令6. 4. 21,横矢　斉史,横矢　斉史 / 現存,平9. 4. 21,歯,診療所,,,,,,,,,,,,,,

54.0,01 / 盛歯285,3285.0,3.0,宮崎歯科医院,〒020－0822,盛岡市茶畑二丁目７番２３号,019-626-1876 / 新規 / 令6. 5. 20,宮崎　宣政,宮崎　宣政 / 現存,平9. 5. 20,歯　小歯,診療所,,,,,,,,,,,,,,

55.0,01 / 盛歯286,3286.0,1.0,田中歯科医院,〒020－0125,盛岡市上堂一丁目１６番２７号,019-645-2821 / 組織変更 / 令6. 6. 1,医療法人尽誠会　理事長　田中　健一,田中　崇一 / 現存,平9. 6. 1,歯,診療所,,,,,,,,,,,,,,

56.0,01 / 盛歯288,3288.0,7.0,佐藤博歯科医院,〒020－0066,盛岡市上田一丁目７番１１号,019-621-7011 / 新規 / 令6. 10. 13,佐藤　博,佐藤　博 / 現存,平9. 10. 13,歯,診療所,,,,,,,,,,,,,,

57.0,01 / 盛歯289,3289.0,5.0,さとう歯科クリニック,〒020－0834,盛岡市永井２０地割１番地９１,019-637-7373 / 組織変更 / 令3. 12. 1,医療法人　大志会　理事長　佐藤　昭人,佐藤　昭人 / 現存,平9. 12. 1,歯　矯歯　小歯　歯外,診療所,,,,,,,,,,,,,,

58.0,01 / 盛歯291,3291.0,1.0,見前歯科クリニック,〒020－0833,盛岡市西見前１５地割４番地４,019-637-8803 / 新規 / 令4. 4. 1,相澤　譲,相澤　譲 / 現存,平10. 4. 1,歯　小歯,診療所,,,,,,,,,,,,,,

59.0,01 / 盛歯293,3293.0,7.0,松田歯科医院,〒020－0871,盛岡市中ノ橋通一丁目７番１号　３階,019-624-8848 / 新規 / 令4. 5. 15,松田　葉,松田　葉 / 現存,平10. 5. 15,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

60.0,01 / 盛歯303,3303.0,4.0,小川歯科医院,〒020－0402,盛岡市黒川９地割２０番地８,019-696-2227 / 組織変更 / 令4. 12. 1,医療法人小川歯科医院　理事長　小川　邦明,小川　恵子 / 現存,平10. 12. 1,歯　矯歯　小歯　歯外,診療所,,,,,,,,,,,,,,

61.0,01 / 盛歯305,3305.0,9.0,細川歯科医院,〒020－0011,盛岡市三ツ割二丁目１番１２号,019-665-0118 / 新規 / 令5. 9. 1,細川　貢,細川　貢 / 現存,平11. 4. 30,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

62.0,01 / 盛歯306,3306.0,7.0,たかはし歯科医院,〒020－0121,盛岡市月が丘一丁目２７番４５号エンジェルビルⅢ１－Ｂ,019-643-8880 / 新規 / 令5. 9. 1,高橋　賢司,高橋　賢司 / 現存,平11. 4. 8,歯　小歯,診療所,,,,,,,,,,,,,,

63.0,01 / 盛歯308,3308.0,3.0,太田歯科医院,〒020－0053,盛岡市上太田金財１番地３,019-658-0039 / 新規 / 令5. 9. 1,村上　克利,村上　克利 / 現存,平11. 6. 26,歯　小歯　歯外,診療所,,,,,,,,,,,,,,

64.0,01 / 盛歯312,3312.0,5.0,やすの矯正歯科クリニック,〒020－0034,盛岡市盛岡駅前通１４番９号平戸屋ビル２階,019-622-3877 / 新規 / 令5. 9. 1,安野　松王,安野　松王 / 現存,平11. 7. 1,矯歯,診療所,,,,,,,,,,,,,,

65.0,01 / 盛歯314,3314.0,1.0,西郷歯科医院,〒020－0114,盛岡市高松一丁目１３番１５号,019-661-8110 / 新規 / 令5. 9. 1,西郷　史郎,西郷　史郎 / 現存,平11. 9. 1,歯　小歯　歯外,診療所,,,,,,,,,,,,,,

66.0,01 / 盛歯315,3315.0,8.0,小野歯科医院,〒020－0121,盛岡市月が丘三丁目３２番６号,019-641-6480 / 新規 / 令5. 11. 1,小野　博之,小野　博之 / 現存,平11. 11. 1,歯　小歯,診療所,,,,,,,,,,,,,,

67.0,01 / 盛歯316,3316.0,6.0,上ノ橋歯科クリニック,〒020－0887,盛岡市上ノ橋町１番４５号,019-622-4348 / 移動 / 令5. 11. 1,両川　卓司,両川　卓司 / 現存,平11. 11. 1,歯　小歯,診療所,,,,,,,,,,,,,,

68.0,01 / 盛歯317,3317.0,4.0,のむら歯科医院,〒020－0401,盛岡市手代森１４地割１６番地２９,019-675-1188 / 新規 / 令6. 3. 15,野村　照彦,野村　照彦 / 現存,平12. 3. 15,歯,診療所,,,,,,,,,,,,,,

69.0,01 / 盛歯318,3318.0,2.0,加賀野歯科クリニック,〒020－0807,盛岡市加賀野三丁目１番１１号,019-651-8974 / 移動 / 令6. 5. 13,佐藤　寿久,佐藤　寿久 / 現存,平12. 5. 13,歯　小歯,診療所,,,,,,,,,,,,,,

70.0,01 / 盛歯319,3319.0,0.0,ふじむら歯科医院,〒020－0878,盛岡市肴町３番３０号パークハイツ中津川１０２号室,019-625-2418 / 移動 / 令6. 6. 1,藤村　三良,藤村　三良 / 現存,平12. 6. 1,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

71.0,01 / 盛歯322,3322.0,4.0,小泉歯科医院,〒020－0861,盛岡市仙北三丁目１５番２６号,019-635-2292 / 新規 / 令6. 9. 1,小泉　光子,小泉　光子 / 現存,平12. 9. 1,歯,診療所,,,,,,,,,,,,,,

72.0,01 / 盛歯323,3323.0,2.0,しまざき歯科医院,〒020－0807,盛岡市加賀野四丁目１５番３０号,019-656-8388 / 移動 / 令6. 10. 1,医療法人吉陽会　理事長　島﨑　操一,島﨑　操一 / 現存,平12. 10. 1,歯　歯外　小歯,診療所,,,,,,,,,,,,,,

73.0,01 / 盛歯324,3324.0,0.0,赤坂歯科医院,〒020－0872,盛岡市八幡町１番１１号,019-622-5098 / 交代 / 令7. 2. 1,赤坂　栄里子,赤坂　栄里子 / 現存,平13. 2. 1,歯,診療所,,,,,,,,,,,,,,

74.0,01 / 盛歯330,3330.0,7.0,りょうわ歯科,〒020－0063,盛岡市材木町６番２号,019-653-3636 / 移動 / 令元. 8. 1,吉田　裕則,吉田　裕則 / 現存,平13. 8. 1,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

75.0,01 / 盛歯331,3331.0,5.0,さいとう歯科医院,〒020－0124,盛岡市厨川一丁目５番１号,019-641-3558 / 交代 / 令元. 12. 15,齋藤　雅人,齋藤　雅人 / 現存,平13. 12. 15,歯　矯歯　小歯,診療所,,,,,,,,,,,,,,

76.0,01 / 盛歯333,3333.0,1.0,おとべ歯科クリニック,〒020－0403,盛岡市乙部４地割１５番地２,019-696-3001 / 新規 / 令2. 2. 22,斗ケ澤　宜裕,斗ケ澤　宜裕 / 現存,平14. 2. 22,歯　小歯,診療所,,,,,,,,,,,,,,

77.0,01 / 盛歯334,3334.0,9.0,白倉歯科医院,〒020－0861,盛岡市仙北三丁目１４番５７号,019-656-5218 / 新規 / 令2. 4. 1,白倉　義之,白倉　義之 / 現存,平14. 4. 1,歯,診療所,,,,,,,,,,,,,,

78.0,01 / 盛歯335,3335.0,6.0,遠藤歯科医院,〒020－0143,盛岡市上厨川字横長根７６番地３,019-648-2010 / 新規 / 令2. 4. 1,遠藤　忠治,遠藤　忠治 / 現存,平14. 4. 1,歯　小歯,診療所,,,,,,,,,,,,,,

79.0,01 / 盛歯336,3336.0,4.0,小鳥沢歯科クリニック,〒020－0104,盛岡市小鳥沢一丁目３４番１７号,019-664-1600 / 新規 / 令2. 4. 30,鈴木　俊一,鈴木　俊一 / 現存,平14. 4. 30,歯　小歯,診療所,,,,,,,,,,,,,,

80.0,01 / 盛歯338,3338.0,0.0,三條矯正歯科,〒020－0015,盛岡市本町通二丁目４番３２号,019-654-3775 / 移動 / 令2. 6. 17,医療法人　恵慈会　理事長　三條　勲,三條　勲 / 現存,平14. 6. 17,矯歯,診療所,,,,,,,,,,,,,,

81.0,01 / 盛歯339,3339.0,8.0,小林歯科医院,〒020－0024,盛岡市菜園二丁目７番３３号東カンジェネラス菜園公園通り２階,019-654-1088 / 移動 / 令2. 9. 1,小林　琢三,小林　琢三 / 現存,平14. 9. 1,歯,診療所,,,,,,,,,,,,,,

82.0,01 / 盛歯340,3340.0,6.0,寛歯科クリニック,〒020－0023,盛岡市内丸１７番３８号杜陵ビル２階,019-654-3316 / 組織変更 / 令2. 9. 1,医療法人　寛歯科クリニック　理事長　高橋　寛,高橋　寛 / 現存,平14. 9. 1,歯,診療所,,,,,,,,,,,,,,

83.0,01 / 盛歯343,3343.0,0.0,駅西通り　おばら歯科医院,〒020－0045,盛岡市盛岡駅西通一丁目５番３号,019-652-2928 / 新規 / 令2. 12. 3,小原　賢一,小原　賢一 / 現存,平14. 12. 3,歯　小歯,診療所,,,,,,,,,,,,,,

84.0,01 / 盛歯344,3344.0,8.0,みやのデンタルオフィス,〒020－0141,盛岡市中屋敷町７番１７号,019-643-5773 / 移動 / 令3. 1. 1,宮野　敦志,宮野　敦志 / 現存,平15. 1. 1,歯　矯歯　小歯　歯外,診療所,,,,,,,,,,,,,,

85.0,01 / 盛歯345,3345.0,5.0,向井田歯科医院,〒020－0064,盛岡市梨木町１１番１号,019-606-8181 / 新規 / 令3. 2. 5,向井田　克,向井田　克 / 現存,平15. 2. 5,歯　歯外,診療所,,,,,,,,,,,,,,

86.0,01 / 盛歯346,3346.0,3.0,関歯科・口腔医療クリニック,〒020－0021,盛岡市中央通三丁目１４番２９号,新規 / 令3. 5. 8,関　克典,関　克典 / 現存,平15. 5. 8,歯　小歯　歯外,診療所,,,,,,,,,,,,,,

87.0,01 / 盛歯347,3347.0,1.0,どいじり歯科医院,〒020－0866,盛岡市本宮五丁目９番１７号,019-631-1151 / 新規 / 令3. 6. 3,土井尻　康浩,土井尻　康浩 / 現存,平15. 6. 3,歯　小歯　歯外,診療所,,,,,,,,,,,,,,

88.0,01 / 盛歯349,3349.0,7.0,だいこく歯科医院,〒020－0861,盛岡市仙北三丁目１１番４号,019-635-8141 / 組織変更 / 令3. 8. 1,医療法人だいこく歯科医院　理事長　大黒　英貴,大黒　英貴 / 現存,平15. 8. 1,歯　小歯,診療所,,,,,,,,,,,,,,

